"user_id","features","cleaning_efficiency","consumables","comparison","time"
"1001","65㎡ apartment | single | hardwood floor","Coverage:85%\nDaily avg cleaning:45㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:60 days remaining\nHEPA filter:40% remaining","Outperforms 65% same-area users (higher cleaning frequency)","2025-01"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:88%\nObstacle avoidance failures:2 times/week (cable tangling)","Side brush wear:moderate\nDustbin cleaning:every 3 days","Mopping function usage rate 30% below peers","2025-01"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:92%\nCarpet boost usage:15 times/month","Rubber brush replacement:25 days remaining\nDustbin capacity:cleaned daily","Hair processing efficiency top 15%","2025-01"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:8 times/month\nAuto return-to-charge success rate:89%","Main brush tangling:severe\nFilter replacement:urgently needed","Recommend upgrading suction to 2500Pa","2025-01"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:95%\nScheduled cleaning not used","Battery degradation:25%\nWater tank not activated","Voice control function urgently needed","2025-01"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:3 times/week\nToy obstacle avoidance rate:76%","Side brush replacement:2 times/quarter\nDust bag consumption:1 per month","Recommend adding mechanical arm accessory","2025-01"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:90%\nDaily avg cleaning:35㎡\nEdge cleaning with no blind spots","Filter lifespan:80 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 70% small apartment users","2025-01"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:86%\nDining table area missed:1 time/day\nObstacle avoidance success rate:90%","Main brush wear:mild\nWater tank refill:2 times daily","Marble floor cleaning performance 15% below peers","2025-01"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:85%\nAuto return-to-charge success rate:92%","Rubber brush tangling:moderate\nFilter replacement:30 days remaining","Pet household cleaning efficiency at average level","2025-01"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:82%\nManual assisted cleaning:3 times/day\nScheduled cleaning usage rate:60%","Battery degradation:15%\nSide brush lifespan:45 days remaining","Large apartment operation convenience 20% below peers","2025-01"
"1001","65㎡ apartment | single | hardwood floor","Coverage:86%\nDaily avg cleaning:46㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:55 days remaining\nHEPA filter:35% remaining","Outperforms 68% same-area users (higher cleaning frequency)","2025-02"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:87%\nObstacle avoidance failures:3 times/week (cable tangling)","Side brush wear:moderate+\nDustbin cleaning:every 2 days","Mopping function usage rate 32% below peers","2025-02"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:91%\nCarpet boost usage:14 times/month","Rubber brush replacement:20 days remaining\nDustbin capacity:cleaned daily","Hair processing efficiency top 18%","2025-02"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:9 times/month\nAuto return-to-charge success rate:87%","Main brush tangling:severe+\nFilter replacement:urgent","Recommend upgrading suction to 2500Pa+regularly clean main brush","2025-02"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:94%\nScheduled cleaning trial usage:1 time/week","Battery degradation:26%\nWater tank not activated","Voice control function urgently needed+simplified operation interface","2025-02"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:4 times/week\nToy obstacle avoidance rate:74%","Side brush replacement:needs replacement\nDust bag consumption:1.2 per month","Recommend adding mechanical arm accessory+improve cross-floor navigation","2025-02"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:91%\nDaily avg cleaning:36㎡\nEdge cleaning with no blind spots","Filter lifespan:75 days remaining\nDustbin cleaning:every 4 days","Cleaning efficiency outperforms 72% small apartment users","2025-02"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:87%\nDining table area missed:1 time/day\nObstacle avoidance success rate:91%","Main brush wear:mild+\nWater tank refill:2 times daily","Marble floor cleaning performance 13% below peers","2025-02"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:86%\nAuto return-to-charge success rate:93%","Rubber brush tangling:moderate\nFilter replacement:25 days remaining","Pet household cleaning efficiency at upper-average level","2025-02"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:83%\nManual assisted cleaning:2 times/day\nScheduled cleaning usage rate:65%","Battery degradation:16%\nSide brush lifespan:40 days remaining","Large apartment operation convenience 18% below peers","2025-02"
"1001","65㎡ apartment | single | hardwood floor","Coverage:87%\nDaily avg cleaning:47㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:50 days remaining\nHEPA filter:30% remaining","Outperforms 70% same-area users (higher cleaning frequency)","2025-03"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:88%\nObstacle avoidance failures:2 times/week (cables+data cables)","Side brush wear:heavy-\nDustbin cleaning:every 2 days","Mopping function usage rate 30% below peers+recommend tidying cables","2025-03"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:92%\nCarpet boost usage:16 times/month","Rubber brush replacement:replaced\nDustbin capacity:cleaned daily","Hair processing efficiency top 15%","2025-03"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:7 times/month\nAuto return-to-charge success rate:88%","Main brush tangling:severe\nFilter replacement:replaced","Cleaning efficiency improved 5% after suction upgrade","2025-03"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:93%\nScheduled cleaning usage rate:2 times/week","Battery degradation:27%\nWater tank first activated:used 1 time","Voice control function installation scheduled","2025-03"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:2 times/week\nToy obstacle avoidance rate:78%","Side brush replacement:1 time/quarter\nDust bag consumption:1 per month","Mechanical arm accessory installed+cross-floor navigation optimized","2025-03"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:92%\nDaily avg cleaning:37㎡\nEdge cleaning with no blind spots","Filter lifespan:70 days remaining\nDustbin cleaning:every 4 days","Cleaning efficiency outperforms 75% small apartment users","2025-03"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:88%\nDining table area missed:0 times/day\nObstacle avoidance success rate:92%","Main brush wear:moderate-\nWater tank refill:1 time daily","Marble floor cleaning performance on par with peers","2025-03"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:88%\nAuto return-to-charge success rate:94%","Rubber brush tangling:mild+\nFilter replacement:20 days remaining","Pet household cleaning efficiency at upper level","2025-03"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:85%\nManual assisted cleaning:2 times/day\nScheduled cleaning usage rate:70%","Battery degradation:17%\nSide brush lifespan:35 days remaining","Large apartment operation convenience on par with peers","2025-03"
"1001","65㎡ apartment | single | hardwood floor","Coverage:88%\nDaily avg cleaning:48㎡\nMissed areas:none (sofa elevated)","Main brush lifespan:45 days remaining\nHEPA filter:25% remaining","Outperforms 75% same-area users (no cleaning blind spots)","2025-04"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:89%\nObstacle avoidance failures:1 time/week (cable tangling)","Side brush wear:moderate\nDustbin cleaning:every 3 days","Mopping function usage rate improved to peer average level","2025-04"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:93%\nCarpet boost usage:17 times/month","Rubber brush replacement:45 days remaining\nDustbin capacity:cleaned every 2 days","Hair processing efficiency top 10%","2025-04"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:6 times/month\nAuto return-to-charge success rate:90%","Main brush tangling:moderate+\nFilter lifespan:60 days remaining","Cleaning efficiency outperforms 20% of peer pet households","2025-04"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:85%\nScheduled cleaning usage rate:5 times/week","Battery degradation:28%\nWater tank usage rate:50%","Voice control function installed+operation proficiency improved","2025-04"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:1 time/week\nToy obstacle avoidance rate:85%","Side brush lifespan:60 days remaining\nDust bag consumption:0.8 per month","Cleaning efficiency outperforms 80% large apartment multi-floor users","2025-04"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:93%\nDaily avg cleaning:38㎡\nEdge cleaning with no blind spots","Filter lifespan:65 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 80% small apartment users","2025-04"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:90%\nObstacle avoidance success rate:95%","Main brush lifespan:70 days remaining\nWater tank refill:1 time daily","Marble floor cleaning performance 10% above peers","2025-04"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:90%\nAuto return-to-charge success rate:95%","Rubber brush tangling:mild\nFilter lifespan:50 days remaining","Pet household cleaning efficiency top 20%","2025-04"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:87%\nManual assisted cleaning:1 time/day\nScheduled cleaning usage rate:75%","Battery degradation:18%\nSide brush lifespan:30 days remaining","Large apartment operation convenience 10% above peers","2025-04"
"1001","65㎡ apartment | single | hardwood floor","Coverage:89%\nDaily avg cleaning:49㎡\nNo missed areas","Main brush lifespan:40 days remaining\nHEPA filter:20% remaining","Outperforms 80% same-area users (cleaning efficiency maxed out)","2025-05"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:90%\nObstacle avoidance failures:0 times/week","Side brush lifespan:50 days remaining\nDustbin cleaning:every 4 days","Mopping function usage rate 10% above peers","2025-05"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:94%\nCarpet boost usage:18 times/month","Rubber brush lifespan:40 days remaining\nDustbin cleaning:every 2 days","Hair processing efficiency top 8%","2025-05"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:5 times/month\nAuto return-to-charge success rate:92%","Main brush tangling:mild\nFilter lifespan:55 days remaining","Cleaning efficiency outperforms 25% of peer pet households","2025-05"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:75%\nScheduled cleaning usage rate:7 times/week","Battery degradation:29%\nWater tank usage rate:70%","Voice control function proficiency at full score","2025-05"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:0 times/week\nToy obstacle avoidance rate:90%","Side brush lifespan:55 days remaining\nDust bag consumption:0.7 per month","Cleaning efficiency outperforms 90% large apartment multi-floor users","2025-05"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:94%\nDaily avg cleaning:39㎡\nNo missed areas","Filter lifespan:60 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 85% small apartment users","2025-05"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:91%\nObstacle avoidance success rate:96%","Main brush lifespan:65 days remaining\nWater tank refill:1 time daily","Marble floor cleaning performance 15% above peers","2025-05"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:91%\nAuto return-to-charge success rate:96%","Rubber brush tangling:none\nFilter lifespan:45 days remaining","Pet household cleaning efficiency top 15%","2025-05"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:88%\nManual assisted cleaning:1 time/day\nScheduled cleaning usage rate:80%","Battery degradation:19%\nSide brush lifespan:25 days remaining","Large apartment operation convenience 15% above peers","2025-05"
"1001","65㎡ apartment | single | hardwood floor","Coverage:85%\nDaily avg cleaning:45㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:60 days remaining\nHEPA filter:40% remaining","Outperforms 65% same-area users (higher cleaning frequency)","2025-06"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:88%\nObstacle avoidance failures:2 times/week (cable tangling)","Side brush wear:moderate\nDustbin cleaning:every 3 days","Mopping function usage rate 30% below peers","2025-06"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:92%\nCarpet boost usage:15 times/month","Rubber brush replacement:25 days remaining\nDustbin capacity:cleaned daily","Hair processing efficiency top 15%","2025-06"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:8 times/month\nAuto return-to-charge success rate:89%","Main brush tangling:severe\nFilter replacement:urgently needed","Recommend upgrading suction to 2500Pa","2025-06"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:95%\nScheduled cleaning not used","Battery degradation:25%\nWater tank not activated","Voice control function urgently needed","2025-06"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:3 times/week\nToy obstacle avoidance rate:76%","Side brush replacement:2 times/quarter\nDust bag consumption:1 per month","Recommend adding mechanical arm accessory","2025-06"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:90%\nDaily avg cleaning:35㎡\nEdge cleaning with no blind spots","Filter lifespan:80 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 70% small apartment users","2025-06"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:86%\nDining table area missed:1 time/day\nObstacle avoidance success rate:90%","Main brush wear:mild\nWater tank refill:2 times daily","Marble floor cleaning performance 15% below peers","2025-06"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:85%\nAuto return-to-charge success rate:92%","Rubber brush tangling:moderate\nFilter replacement:30 days remaining","Pet household cleaning efficiency at average level","2025-06"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:82%\nManual assisted cleaning:3 times/day\nScheduled cleaning usage rate:60%","Battery degradation:15%\nSide brush lifespan:45 days remaining","Large apartment operation convenience 20% below peers","2025-06"
"1001","65㎡ apartment | single | hardwood floor","Coverage:84%\nDaily avg cleaning:44㎡\nMissed areas:under sofa+under bed","Main brush lifespan:55 days remaining\nHEPA filter:35% remaining","Outperforms 62% same-area users (cleaning frequency slightly decreased)","2025-07"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:87%\nObstacle avoidance failures:3 times/week (cables+slippers)","Side brush wear:moderate+\nDustbin cleaning:every 2 days","Mopping function usage rate 33% below peers","2025-07"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:91%\nCarpet boost usage:14 times/month","Rubber brush replacement:20 days remaining\nDustbin capacity:cleaned 2 times daily","Hair processing efficiency top 20%","2025-07"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:9 times/month\nAuto return-to-charge success rate:87%","Main brush tangling:severe+\nFilter replacement:urgent","Recommend upgrading suction+replace with anti-tangle main brush","2025-07"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:96%\nScheduled cleaning not used (operation forgotten)","Battery degradation:26%\nWater tank not activated","Voice control function guidance needed again","2025-07"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:4 times/week\nToy obstacle avoidance rate:73%","Side brush replacement:needs replacement\nDust bag consumption:1.3 per month","Mechanical arm accessory malfunction+cross-floor navigation needs repair","2025-07"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:89%\nDaily avg cleaning:34㎡\nEdge cleaning slight missed spots","Filter lifespan:75 days remaining\nDustbin cleaning:every 4 days","Cleaning efficiency outperforms 68% small apartment users","2025-07"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:85%\nDining table area missed:2 times/day\nObstacle avoidance success rate:89%","Main brush wear:mild+\nWater tank refill:3 times daily","Marble floor cleaning performance 17% below peers","2025-07"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:84%\nAuto return-to-charge success rate:91%","Rubber brush tangling:moderate+\nFilter replacement:25 days remaining","Pet household cleaning efficiency at below-average level","2025-07"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:81%\nManual assisted cleaning:4 times/day\nScheduled cleaning usage rate:55%","Battery degradation:16%\nSide brush lifespan:40 days remaining","Large apartment operation convenience 22% below peers","2025-07"
"1001","65㎡ apartment | single | hardwood floor","Coverage:83%\nDaily avg cleaning:43㎡\nMissed areas:under sofa+under bed+balcony corner","Main brush lifespan:50 days remaining\nHEPA filter:30% remaining","Outperforms 60% same-area users (cleaning frequency continues to slightly decrease)","2025-08"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:86%\nObstacle avoidance failures:4 times/week (cables+slippers+small stool)","Side brush wear:heavy-\nDustbin cleaning:every 1 day","Mopping function usage rate 35% below peers","2025-08"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:90%\nCarpet boost usage:13 times/month","Rubber brush replacement:replaced\nDustbin capacity:cleaned 2 times daily","Hair processing efficiency top 22%","2025-08"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:10 times/month\nAuto return-to-charge success rate:85%","Main brush tangling:severe++\nFilter replacement:replaced","Anti-tangle main brush replaced+cleaning efficiency not yet improved","2025-08"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:97%\nScheduled cleaning not used","Battery degradation:27%\nWater tank not activated","Voice control function needs debugging+re-teaching","2025-08"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:5 times/week\nToy obstacle avoidance rate:70%","Side brush replacement:1 time/month\nDust bag consumption:1.5 per month","Mechanical arm accessory replaced+cross-floor navigation pending deep optimization","2025-08"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:88%\nDaily avg cleaning:33㎡\nEdge cleaning missed spots increasing","Filter lifespan:70 days remaining\nDustbin cleaning:every 3 days","Cleaning efficiency outperforms 65% small apartment users","2025-08"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:84%\nDining table area missed:2 times/day\nObstacle avoidance success rate:88%","Main brush wear:moderate-\nWater tank refill:3 times daily","Marble floor cleaning performance 18% below peers","2025-08"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:83%\nAuto return-to-charge success rate:90%","Rubber brush tangling:heavy-\nFilter replacement:20 days remaining","Pet household cleaning efficiency at lower level","2025-08"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:80%\nManual assisted cleaning:4 times/day\nScheduled cleaning usage rate:50%","Battery degradation:17%\nSide brush lifespan:35 days remaining","Large apartment operation convenience 25% below peers","2025-08"
"1001","65㎡ apartment | single | hardwood floor","Coverage:84%\nDaily avg cleaning:44㎡\nMissed areas:under sofa+under bed","Main brush lifespan:45 days remaining\nHEPA filter:25% remaining","Outperforms 63% same-area users (cleaning frequency slightly recovered)","2025-09"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:87%\nObstacle avoidance failures:3 times/week (cables+slippers)","Side brush wear:moderate\nDustbin cleaning:every 2 days","Mopping function usage rate 32% below peers+recommend tidying clutter","2025-09"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:91%\nCarpet boost usage:15 times/month","Rubber brush lifespan:45 days remaining\nDustbin capacity:cleaned 1 time daily","Hair processing efficiency top 18%","2025-09"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:8 times/month\nAuto return-to-charge success rate:88%","Main brush tangling:moderate+\nFilter lifespan:60 days remaining","Anti-tangle main brush effective+cleaning efficiency improved 8%","2025-09"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:90%\nScheduled cleaning usage rate:4 times/week","Battery degradation:28%\nWater tank first activated:used 2 times","Voice control function debugging completed+operation training in progress","2025-09"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:3 times/week\nToy obstacle avoidance rate:75%","Side brush lifespan:60 days remaining\nDust bag consumption:1.2 per month","Cross-floor navigation being optimized+cleaning efficiency slightly recovered","2025-09"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:89%\nDaily avg cleaning:35㎡\nEdge cleaning missed spots decreasing","Filter lifespan:65 days remaining\nDustbin cleaning:every 4 days","Cleaning efficiency outperforms 70% small apartment users","2025-09"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:86%\nDining table area missed:1 time/day\nObstacle avoidance success rate:90%","Main brush wear:mild\nWater tank refill:2 times daily","Marble floor cleaning performance 15% below peers","2025-09"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:86%\nAuto return-to-charge success rate:92%","Rubber brush tangling:moderate\nFilter replacement:30 days remaining","Pet household cleaning efficiency recovered to average level","2025-09"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:82%\nManual assisted cleaning:3 times/day\nScheduled cleaning usage rate:60%","Battery degradation:18%\nSide brush lifespan:30 days remaining","Large apartment operation convenience recovered to 20% below peers","2025-09"
"1001","65㎡ apartment | single | hardwood floor","Coverage:86%\nDaily avg cleaning:46㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:40 days remaining\nHEPA filter:20% remaining","Outperforms 68% same-area users (cleaning frequency continues to recover)","2025-10"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:89%\nObstacle avoidance failures:1 time/week (cable tangling)","Side brush lifespan:50 days remaining\nDustbin cleaning:every 3 days","Mopping function usage rate 25% below peers","2025-10"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:93%\nCarpet boost usage:17 times/month","Rubber brush lifespan:40 days remaining\nDustbin cleaning:every 2 days","Hair processing efficiency top 12%","2025-10"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:7 times/month\nAuto return-to-charge success rate:90%","Main brush tangling:mild\nFilter lifespan:55 days remaining","Cleaning efficiency outperforms 20% of peer pet households","2025-10"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:80%\nScheduled cleaning usage rate:6 times/week","Battery degradation:29%\nWater tank usage rate:60%","Voice control function proficiency improved+smooth operation","2025-10"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:2 times/week\nToy obstacle avoidance rate:80%","Side brush lifespan:55 days remaining\nDust bag consumption:1.0 per month","Cross-floor navigation optimization completed+cleaning efficiency improved 10%","2025-10"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:91%\nDaily avg cleaning:37㎡\nEdge cleaning with no blind spots","Filter lifespan:60 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 75% small apartment users","2025-10"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:88%\nObstacle avoidance success rate:93%","Main brush lifespan:65 days remaining\nWater tank refill:1 time daily","Marble floor cleaning performance 10% below peers","2025-10"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:89%\nAuto return-to-charge success rate:94%","Rubber brush tangling:mild\nFilter lifespan:45 days remaining","Pet household cleaning efficiency at upper-average level","2025-10"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:85%\nManual assisted cleaning:2 times/day\nScheduled cleaning usage rate:70%","Battery degradation:19%\nSide brush lifespan:25 days remaining","Large apartment operation convenience 15% below peers","2025-10"
"1001","65㎡ apartment | single | hardwood floor","Coverage:88%\nDaily avg cleaning:48㎡\nNo missed areas (sofa elevated)","Main brush lifespan:35 days remaining\nHEPA filter:15% remaining","Outperforms 75% same-area users (no cleaning blind spots)","2025-11"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:90%\nObstacle avoidance failures:0 times/week","Side brush lifespan:45 days remaining\nDustbin cleaning:every 4 days","Mopping function usage rate on par with peer average level","2025-11"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:94%\nCarpet boost usage:18 times/month","Rubber brush lifespan:35 days remaining\nDustbin cleaning:every 2 days","Hair processing efficiency top 10%","2025-11"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:6 times/month\nAuto return-to-charge success rate:92%","Main brush tangling:none\nFilter lifespan:50 days remaining","Cleaning efficiency outperforms 30% of peer pet households","2025-11"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:70%\nScheduled cleaning usage rate:7 times/week","Battery degradation:30%\nWater tank usage rate:80%","Voice control function proficient+cleaning efficiency improved 20%","2025-11"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:0 times/week\nToy obstacle avoidance rate:88%","Side brush lifespan:50 days remaining\nDust bag consumption:0.8 per month","Cleaning efficiency outperforms 85% large apartment multi-floor users","2025-11"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:93%\nDaily avg cleaning:38㎡\nNo missed areas","Filter lifespan:55 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 80% small apartment users","2025-11"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:90%\nObstacle avoidance success rate:95%","Main brush lifespan:60 days remaining\nWater tank refill:1 time daily","Marble floor cleaning performance on par with peers","2025-11"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:91%\nAuto return-to-charge success rate:95%","Rubber brush tangling:none\nFilter lifespan:40 days remaining","Pet household cleaning efficiency top 20%","2025-11"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:87%\nManual assisted cleaning:1 time/day\nScheduled cleaning usage rate:75%","Battery degradation:20%\nSide brush lifespan:20 days remaining","Large apartment operation convenience on par with peers","2025-11"
"1001","65㎡ apartment | single | hardwood floor","Coverage:90%\nDaily avg cleaning:50㎡\nNo missed areas","Main brush lifespan:30 days remaining\nHEPA filter:10% remaining","Outperforms 85% same-area users (cleaning efficiency at full score)","2025-12"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:92%\nObstacle avoidance success rate:100%","Side brush lifespan:40 days remaining\nDustbin cleaning:every 5 days","Mopping function usage rate 15% above peers","2025-12"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:95%\nCarpet boost usage:20 times/month","Rubber brush lifespan:30 days remaining\nDustbin cleaning:every 2 days","Hair processing efficiency top 5%","2025-12"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:5 times/month\nAuto return-to-charge success rate:95%","Main brush lifespan:40 days remaining\nFilter lifespan:45 days remaining","Cleaning efficiency outperforms 35% of peer pet households","2025-12"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:60%\nScheduled cleaning usage rate:7 times/week","Battery degradation:30%\nWater tank usage rate:90%","Voice control function deeply used+cleaning efficiency improved 30%","2025-12"
"1006","150㎡ villa | children | multi-floor","Cross-floor success rate:100%\nToy obstacle avoidance rate:95%","Side brush lifespan:45 days remaining\nDust bag consumption:0.7 per month","Cleaning efficiency outperforms 95% large apartment multi-floor users","2025-12"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:95%\nDaily avg cleaning:40㎡\nNo missed areas","Filter lifespan:50 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 90% small apartment users","2025-12"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:92%\nObstacle avoidance success rate:98%","Main brush lifespan:55 days remaining\nWater tank refill:1 time daily","Marble floor cleaning performance 20% above peers","2025-12"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:93%\nAuto return-to-charge success rate:98%","Rubber brush lifespan:35 days remaining\nFilter lifespan:35 days remaining","Pet household cleaning efficiency top 10%","2025-12"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:90%\nManual assisted cleaning:0 times/day\nScheduled cleaning usage rate:90%","Battery degradation:20%\nSide brush lifespan:15 days remaining","Large apartment operation convenience 20% above peers","2025-12"
